latitude,longitude,elevation
16.53403097,80.5753883,16
16.53322249,80.5753883,20
16.53241401,80.5753883,16
16.53160552,80.5753883,20
16.53079704,80.5753883,20
16.52998855,80.5753883,19
16.51705281,80.5753883,18
16.51624433,80.5753883,15
16.51543585,80.5753883,17
16.51462736,80.5753883,15
16.50896798,80.5753883,15
16.50815949,80.5753883,15
16.53483946,80.57619679,17
16.53403097,80.57619679,17
16.53322249,80.57619679,16
16.53241401,80.57619679,19
16.53160552,80.57619679,17
16.53079704,80.57619679,20
16.52998855,80.57619679,19
16.52918007,80.57619679,18
16.52837159,80.57619679,16
16.52352068,80.57619679,13
16.51624433,80.57619679,15
16.51543585,80.57619679,14
16.51462736,80.57619679,18
16.50896798,80.57619679,17
16.50815949,80.57619679,18
16.53403097,80.57700527,16
16.53322249,80.57700527,16
16.53241401,80.57700527,20
16.53160552,80.57700527,16
16.53079704,80.57700527,20
16.52998855,80.57700527,18
16.52918007,80.57700527,19
16.52837159,80.57700527,18
16.5275631,80.57700527,19
16.52352068,80.57700527,16
16.51624433,80.57700527,18
16.51543585,80.57700527,14
16.51462736,80.57700527,18
16.50896798,80.57700527,18
16.50815949,80.57700527,15
16.53403097,80.57781375,16
16.53322249,80.57781375,17
16.53241401,80.57781375,15
16.53160552,80.57781375,16
16.53079704,80.57781375,18
16.52998855,80.57781375,19
16.52918007,80.57781375,15
16.52837159,80.57781375,15
16.5275631,80.57781375,19
16.52675462,80.57781375,15
16.52594614,80.57781375,15
16.52432917,80.57781375,21
16.51543585,80.57781375,14
16.51462736,80.57781375,17
16.51381888,80.57781375,17
16.50896798,80.57781375,18
16.50815949,80.57781375,14
16.53322249,80.57862224,19
16.53241401,80.57862224,18
16.53160552,80.57862224,15
16.53079704,80.57862224,15
16.52998855,80.57862224,19
16.52918007,80.57862224,18
16.52837159,80.57862224,15
16.5275631,80.57862224,19
16.52675462,80.57862224,18
16.52594614,80.57862224,19
16.52513765,80.57862224,21
16.52432917,80.57862224,21
16.5227122,80.57862224,23
16.51543585,80.57862224,17
16.51462736,80.57862224,15
16.51381888,80.57862224,15
16.50896798,80.57862224,17
16.50815949,80.57862224,18
16.53322249,80.57943072,16
16.53241401,80.57943072,19
16.53160552,80.57943072,16
16.53079704,80.57943072,19
16.52998855,80.57943072,18
16.52918007,80.57943072,16
16.52837159,80.57943072,18
16.5275631,80.57943072,16
16.52675462,80.57943072,18
16.52594614,80.57943072,18
16.52513765,80.57943072,15
16.52432917,80.57943072,15
16.52352068,80.57943072,15
16.5227122,80.57943072,19
16.51462736,80.57943072,18
16.51381888,80.57943072,14
16.5130104,80.57943072,14
16.50896798,80.57943072,17
16.50815949,80.57943072,15
16.53241401,80.5802392,19
16.53160552,80.5802392,18
16.53079704,80.5802392,15
16.52998855,80.5802392,16
16.52918007,80.5802392,18
16.52837159,80.5802392,16
16.5275631,80.5802392,18
16.52675462,80.5802392,15
16.52594614,80.5802392,14
16.52513765,80.5802392,18
16.52432917,80.5802392,14
16.52352068,80.5802392,18
16.5227122,80.5802392,20
16.52190372,80.5802392,23
16.51462736,80.5802392,15
16.51381888,80.5802392,18
16.5130104,80.5802392,14
16.50896798,80.5802392,18
16.50815949,80.5802392,14
16.50735101,80.5802392,27
16.53160552,80.58104769,19
16.53079704,80.58104769,16
16.52998855,80.58104769,19
16.52918007,80.58104769,15
16.52837159,80.58104769,18
16.5275631,80.58104769,17
16.52675462,80.58104769,17
16.52594614,80.58104769,17
16.52513765,80.58104769,18
16.52432917,80.58104769,15
16.52352068,80.58104769,15
16.5227122,80.58104769,22
16.52190372,80.58104769,27
16.52109523,80.58104769,13
16.51462736,80.58104769,19
16.51381888,80.58104769,17
16.5130104,80.58104769,14
16.51058494,80.58104769,15
16.50896798,80.58104769,17
16.50815949,80.58104769,15
16.50735101,80.58104769,21
16.53160552,80.58185617,16
16.53079704,80.58185617,16
16.52998855,80.58185617,15
16.52918007,80.58185617,15
16.52837159,80.58185617,14
16.5275631,80.58185617,18
16.52675462,80.58185617,15
16.52594614,80.58185617,15
16.52513765,80.58185617,17
16.52432917,80.58185617,15
16.52352068,80.58185617,17
16.5227122,80.58185617,20
16.52190372,80.58185617,19
16.52109523,80.58185617,12
16.51462736,80.58185617,18
16.51381888,80.58185617,14
16.5130104,80.58185617,18
16.51058494,80.58185617,18
16.50896798,80.58185617,18
16.50815949,80.58185617,14
16.50735101,80.58185617,18
16.53079704,80.58266466,20
16.52998855,80.58266466,15
16.52918007,80.58266466,14
16.52837159,80.58266466,18
16.5275631,80.58266466,18
16.52675462,80.58266466,15
16.52594614,80.58266466,17
16.52513765,80.58266466,17
16.52432917,80.58266466,17
16.52352068,80.58266466,18
16.5227122,80.58266466,19
16.52190372,80.58266466,22
16.52109523,80.58266466,24
16.51462736,80.58266466,15
16.51381888,80.58266466,18
16.5130104,80.58266466,15
16.51220191,80.58266466,15
16.50977646,80.58266466,17
16.50896798,80.58266466,14
16.50815949,80.58266466,18
16.50735101,80.58266466,17
16.53079704,80.58347314,21
16.52998855,80.58347314,18
16.52918007,80.58347314,15
16.52837159,80.58347314,17
16.5275631,80.58347314,15
16.52675462,80.58347314,14
16.52594614,80.58347314,15
16.52513765,80.58347314,14
16.52432917,80.58347314,15
16.52352068,80.58347314,17
16.5227122,80.58347314,18
16.52190372,80.58347314,20
16.52109523,80.58347314,32
16.52028675,80.58347314,28
16.51462736,80.58347314,14
16.51381888,80.58347314,15
16.5130104,80.58347314,15
16.51220191,80.58347314,14
16.50977646,80.58347314,17
16.50896798,80.58347314,15
16.50815949,80.58347314,18
16.50735101,80.58347314,14
16.52918007,80.58428162,15
16.52837159,80.58428162,18
16.5275631,80.58428162,14
16.52675462,80.58428162,18
16.52594614,80.58428162,14
16.52513765,80.58428162,14
16.52432917,80.58428162,14
16.52352068,80.58428162,18
16.5227122,80.58428162,14
16.52190372,80.58428162,20
16.52109523,80.58428162,43
16.52028675,80.58428162,39
16.51462736,80.58428162,14
16.51381888,80.58428162,15
16.5130104,80.58428162,11
16.51220191,80.58428162,17
16.50977646,80.58428162,17
16.50896798,80.58428162,17
16.50815949,80.58428162,14
16.50735101,80.58428162,17
16.50654252,80.58428162,17
16.52837159,80.58509011,14
16.5275631,80.58509011,15
16.52675462,80.58509011,14
16.52594614,80.58509011,14
16.52513765,80.58509011,15
16.52432917,80.58509011,18
16.52352068,80.58509011,14
16.5227122,80.58509011,17
16.52190372,80.58509011,14
16.52109523,80.58509011,15
16.52028675,80.58509011,22
16.51462736,80.58509011,15
16.51381888,80.58509011,11
16.5130104,80.58509011,-6
16.51139343,80.58509011,14
16.51058494,80.58509011,17
16.50977646,80.58509011,14
